0,-1
Les Misérables,The Lion King
The Phantom of the Opera,Fiddler on the Roof
Hamilton,Jesus Christ Superstar
West Side Story,Cinderella
Wicked,The Little Mermaid
Chicago,Godspell
Rent,La Cage aux Folles
The Book of Mormon,Porgy and Bess
Sweeney Todd: The Demon Barber of Fleet Street,1776
The Sound of Music,Chess
Into the Woods,Starlight Express
Dear Evan Hansen,A Christmas Carol
Hairspray,Kiss of the Spider Woman
A Chorus Line,Tarzan of the Apes
Cabaret,Ain't Misbehavin'
Little Shop of Horrors,High School Musical on Stage!
Grease,Dr. Seuss' How the Grinch Stole Christmas!
Newsies,Fosse
My Fair Lady,Shenandoah
Evita,Coco
Annie,Fiorello!
Singin' in the Rain,The Magic Show
The Music Man,
Matilda,
Spring Awakening,
Avenue Q,
In the Heights,
Beauty and the Beast,
The King and I,
Mary Poppins,
Joseph and the Amazing Technicolor Dreamcoat,
Mamma Mia!,
Cats,
Guys and Dolls,
Pippin,
Anything Goes,
Kinky Boots,
Miss Saigon,
oklahoma,
Next to Normal,
The Producers,
Gypsy: A Musical Fable,
Dreamgirls,
"Hello, Dolly!",
Jersey Boys,
Oliver!,
Hair,
Something Rotten,
Waitress,
Ragtime,
Heathers,
Falsettos,
Peter Pan,
South Pacific,
Spamalot,
Company,
Annie Get Your Gun,
Funny Girl,
The Color Purple,
Carousel,
Bye Bye Birdie,
Billy Elliot the Musical,
The addams family,
School of Rock - the Musical,
The Rocky Horror Show,
Thoroughly Modern Millie,
Legally Blonde,
How to Succeed in Business Without Really Trying,
Camelot,
Hedwig and the Angry Inch,
Come from Away,
Show Boat,
42nd Street,
Man of La Mancha,
Sunday in the Park with George,
"You're a Good Man, Charlie Brown",
Follies,
A Little Night Music,
Urinetown,
Sunset Boulevard,
Aladdin,
Anastasia,
The Secret Garden,
Victor/Victoria,
Assassins,
Finding Neverland,
Chitty Chitty Bang Bang,
The 25th Annual Putnam County Spelling Bee,
A Funny Thing Happened on the Way to the Forum,
The Pirates of Penzance,
"Kiss Me, Kate",
Damn Yankees,
American Idiot,
The Drowsy Chaperone,
A Gentleman's Guide to Love and Murder,
The Fantasticks,
Once,
Jekyll and Hyde,
Beautiful: the Carole King Musical,
Brigadoon,
On the Town,
The Who's Tommy,
Be More Chill,
The Wiz,
Fun Home,
Catch Me If You Can,
Sweet Charity,
Mame,
Seven Brides for Seven Brothers,
Sister Act,
She Loves Me,
Candide,
Once Upon a Mattress,
Frozen,
Natasha Pierre and the Great Comet of 1812,
Aida,
The Light in the Piazza,
Shrek the Musical,
The Full Monty,
The Best Little Whorehouse in Texas,
pajama game,
Big River,
Bandstand,
Rock of Ages,
Bonnie & Clyde,
Fame,
Passion,
The Band's Visit,
Nine,
Crazy for You,
Memphis,
Gigi,
Beetlejuice,
Pal Joey,
Parade,
Wonderful Town,
Grey Gardens,
Flower Drum Song,
Titanic,
Side Show,
A New Brain,
Children of Eden,
Can-Can,
City of Angels,
Bells Are Ringing,
Tuck Everlasting,
Curtains,
Xanadu,
Oh! Calcutta!,
The Scarlet Pimpernel,
Movin' Out,
Dogfight,
Applause,
Kismet,
War Paint,
Honk!,
Blood Brothers,
Suessical the Musical,
Raisin,
"Natasha, Pierre, and the Great Comet of 1812",
Twisted,
Dirty Rotten Scoundrels,
"Promises, Promises",
Carnival!,
Baby,
Ballroom,
Do Re Mi,
Redhead,
Passing Strange,
New girl in town,
Grind,
Big Deal,
